Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Profilo,Chrome 148.0.7778.179,"Ordine d'esecuzione: prima i casi non-mutanti; in fondo i casi che modificano email/password (muta-credenziali, richiedono DB ripristinato).",,06-06-2026 18:03:56,06-06-2026 18:23:36,"19m - 39,509s",FAILED
,,,,,,,
Test Cases/Profilo/TC_3.1_1,Chrome 148.0.7778.179,Visualizzare il profilo da utente autenticato,,06-06-2026 18:04:19,06-06-2026 18:04:25,"6,600s",FAILED
"openBrowser("""")",Chrome 148.0.7778.179,,,06-06-2026 18:04:19,06-06-2026 18:04:20,"0,976s",PASSED
"navigateToUrl(base + ""loginForm.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:20,06-06-2026 18:04:20,"0,327s",PASSED
"setText(css(""#email""), ""t.mansi@studenti.unisa.it"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:20,06-06-2026 18:04:20,"0,000s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:20,06-06-2026 18:04:20,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:20,06-06-2026 18:04:20,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:20,06-06-2026 18:04:21,"0,690s",PASSED
"setText(css(""#password""), ""321CBA."")",Chrome 148.0.7778.179,,,06-06-2026 18:04:21,06-06-2026 18:04:21,"0,000s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:21,06-06-2026 18:04:21,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:21,06-06-2026 18:04:21,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:21,06-06-2026 18:04:21,"0,543s",PASSED
"click(css(""#submit""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:21,06-06-2026 18:04:21,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:21,06-06-2026 18:04:21,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:21,06-06-2026 18:04:21,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:21,06-06-2026 18:04:22,"0,329s",PASSED
delay(2),Chrome 148.0.7778.179,,,06-06-2026 18:04:22,06-06-2026 18:04:24,"2,014s",PASSED
"navigateToUrl(base + ""Utente.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:24,06-06-2026 18:04:24,"0,071s",PASSED
delay(1),Chrome 148.0.7778.179,,,06-06-2026 18:04:24,06-06-2026 18:04:25,"1,013s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,06-06-2026 18:04:25,06-06-2026 18:04:25,"0,313s",PASSED
"verifyTextPresent(""Benvenuto"", false)",Chrome 148.0.7778.179,,,06-06-2026 18:04:25,06-06-2026 18:04:25,"0,308s",FAILED
,,,,,,,
Test Cases/Profilo/TC_3.1_2,Chrome 148.0.7778.179,Accesso al profilo da ospite (atteso redirect a loginForm; robustezza),,06-06-2026 18:04:25,06-06-2026 18:04:28,"2,398s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,06-06-2026 18:04:25,06-06-2026 18:04:26,"0,871s",PASSED
"navigateToUrl(base + ""Utente.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:26,06-06-2026 18:04:26,"0,052s",PASSED
delay(1),Chrome 148.0.7778.179,,,06-06-2026 18:04:26,06-06-2026 18:04:27,"1,016s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,06-06-2026 18:04:27,06-06-2026 18:04:28,"0,284s",PASSED
"markWarning(""Accesso a Utente.jsp da ospite: atteso redirect a loginForm; reale errore 500 (NPE su user null, manca il controllo/redirect). Interpretare lo screenshot -> incident TIR (robustezza/CR_02)."")",Chrome 148.0.7778.179,,,06-06-2026 18:04:28,06-06-2026 18:04:28,"0,004s",WARNING
closeBrowser(),Chrome 148.0.7778.179,,,06-06-2026 18:04:28,06-06-2026 18:04:28,"0,139s",PASSED
,,,,,,,
Test Cases/Profilo/TC_3.3_1,Chrome 148.0.7778.179,Modificare numero di telefono con valore valido,,06-06-2026 18:04:28,06-06-2026 18:04:39,"10,697s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,06-06-2026 18:04:28,06-06-2026 18:04:29,"0,763s",PASSED
"navigateToUrl(base + ""loginForm.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:29,06-06-2026 18:04:29,"0,360s",PASSED
"setText(css(""#email""), ""t.mansi@studenti.unisa.it"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:29,06-06-2026 18:04:29,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:29,06-06-2026 18:04:29,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:29,06-06-2026 18:04:29,"0,002s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:29,06-06-2026 18:04:30,"0,576s",PASSED
"setText(css(""#password""), ""321CBA."")",Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:30,"0,000s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:30,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:30,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:30,"0,532s",PASSED
"click(css(""#submit""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:30,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:30,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:30,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:30,"0,324s",PASSED
delay(2),Chrome 148.0.7778.179,,,06-06-2026 18:04:30,06-06-2026 18:04:32,"2,005s",PASSED
"navigateToUrl(base + ""Utente.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:32,06-06-2026 18:04:33,"0,061s",PASSED
delay(1),Chrome 148.0.7778.179,,,06-06-2026 18:04:33,06-06-2026 18:04:34,"1,012s",PASSED
"click(css(""#editPhoneButton""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:34,06-06-2026 18:04:34,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:34,06-06-2026 18:04:34,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:34,06-06-2026 18:04:34,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:34,06-06-2026 18:04:34,"0,301s",PASSED
delay(1),Chrome 148.0.7778.179,,,06-06-2026 18:04:34,06-06-2026 18:04:35,"1,005s",PASSED
"setText(css(""#phoneInput""), ""3399998877"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:35,06-06-2026 18:04:35,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:35,06-06-2026 18:04:35,"0,002s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:35,06-06-2026 18:04:35,"0,001s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:35,06-06-2026 18:04:35,"0,577s",PASSED
"click(css(""#submitPhoneButton""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:35,06-06-2026 18:04:35,"0,000s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:35,06-06-2026 18:04:35,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:35,06-06-2026 18:04:35,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:35,06-06-2026 18:04:36,"0,300s",PASSED
delay(2),Chrome 148.0.7778.179,,,06-06-2026 18:04:36,06-06-2026 18:04:38,"2,012s",PASSED
msg = getAlertText(),Chrome 148.0.7778.179,,,06-06-2026 18:04:38,06-06-2026 18:04:38,"0,025s",PASSED
acceptAlert(),Chrome 148.0.7778.179,,,06-06-2026 18:04:38,06-06-2026 18:04:38,"0,009s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,06-06-2026 18:04:38,06-06-2026 18:04:38,"0,516s",PASSED
"verifyMatch(msg, "".*Numero di cellulare modificato con successo.*"", true)",Chrome 148.0.7778.179,,,06-06-2026 18:04:38,06-06-2026 18:04:38,"0,008s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,06-06-2026 18:04:38,06-06-2026 18:04:39,"0,229s",PASSED
,,,,,,,
Test Cases/Profilo/TC_3.3_2,Chrome 148.0.7778.179,Modificare numero di telefono con valore vuoto (robustezza),,06-06-2026 18:04:39,06-06-2026 18:04:49,"10,494s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,06-06-2026 18:04:39,06-06-2026 18:04:39,"0,785s",PASSED
"navigateToUrl(base + ""loginForm.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:39,06-06-2026 18:04:40,"0,413s",PASSED
"setText(css(""#email""), ""t.mansi@studenti.unisa.it"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:40,06-06-2026 18:04:40,"0,002s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:40,06-06-2026 18:04:40,"0,004s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:40,06-06-2026 18:04:40,"0,005s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:40,06-06-2026 18:04:40,"0,578s",PASSED
"setText(css(""#password""), ""321CBA."")",Chrome 148.0.7778.179,,,06-06-2026 18:04:40,06-06-2026 18:04:40,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:40,06-06-2026 18:04:40,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:40,06-06-2026 18:04:40,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:40,06-06-2026 18:04:41,"0,541s",PASSED
"click(css(""#submit""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:41,06-06-2026 18:04:41,"0,000s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:41,06-06-2026 18:04:41,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:41,06-06-2026 18:04:41,"0,002s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:41,06-06-2026 18:04:41,"0,322s",PASSED
delay(2),Chrome 148.0.7778.179,,,06-06-2026 18:04:41,06-06-2026 18:04:43,"2,012s",PASSED
"navigateToUrl(base + ""Utente.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:43,06-06-2026 18:04:43,"0,047s",PASSED
delay(1),Chrome 148.0.7778.179,,,06-06-2026 18:04:43,06-06-2026 18:04:44,"1,009s",PASSED
"click(css(""#editPhoneButton""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:44,06-06-2026 18:04:44,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:44,06-06-2026 18:04:44,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:44,06-06-2026 18:04:44,"0,001s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:44,06-06-2026 18:04:45,"0,282s",PASSED
delay(1),Chrome 148.0.7778.179,,,06-06-2026 18:04:45,06-06-2026 18:04:46,"1,006s",PASSED
"setText(css(""#phoneInput""), """")",Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:46,"0,009s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:46,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:46,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:46,"0,565s",PASSED
"click(css(""#submitPhoneButton""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:46,"0,000s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:46,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:46,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:46,"0,284s",PASSED
delay(2),Chrome 148.0.7778.179,,,06-06-2026 18:04:46,06-06-2026 18:04:49,"2,015s",PASSED
"if (verifyAlertPresent(3, OPTIONAL))",Chrome 148.0.7778.179,,,06-06-2026 18:04:49,06-06-2026 18:04:49,"0,032s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,06-06-2026 18:04:49,06-06-2026 18:04:49,"0,337s",PASSED
"markWarning(""Telefono vuoto: atteso rifiuto; reale nessuna validazione (probabile salvataggio del vuoto). Interpretare alert/screenshot -> incident TIR (robustezza/CR_02)."")",Chrome 148.0.7778.179,,,06-06-2026 18:04:49,06-06-2026 18:04:49,"0,003s",WARNING
closeBrowser(),Chrome 148.0.7778.179,,,06-06-2026 18:04:49,06-06-2026 18:04:49,"0,158s",PASSED
,,,,,,,
Test Cases/Profilo/TC_3.3_3,Chrome 148.0.7778.179,Modificare numero di telefono con soli spazi bianchi (robustezza),,06-06-2026 18:04:49,06-06-2026 18:05:00,"10,770s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,06-06-2026 18:04:49,06-06-2026 18:04:50,"0,841s",PASSED
"navigateToUrl(base + ""loginForm.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:50,06-06-2026 18:04:50,"0,417s",PASSED
"setText(css(""#email""), ""t.mansi@studenti.unisa.it"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:50,06-06-2026 18:04:50,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:50,06-06-2026 18:04:50,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:50,06-06-2026 18:04:50,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:50,06-06-2026 18:04:51,"0,567s",PASSED
"setText(css(""#password""), ""321CBA."")",Chrome 148.0.7778.179,,,06-06-2026 18:04:51,06-06-2026 18:04:51,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:51,06-06-2026 18:04:51,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:51,06-06-2026 18:04:51,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:51,06-06-2026 18:04:51,"0,534s",PASSED
"click(css(""#submit""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:51,06-06-2026 18:04:51,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:51,06-06-2026 18:04:51,"0,000s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:51,06-06-2026 18:04:51,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:51,06-06-2026 18:04:52,"0,313s",PASSED
delay(2),Chrome 148.0.7778.179,,,06-06-2026 18:04:52,06-06-2026 18:04:54,"2,012s",PASSED
"navigateToUrl(base + ""Utente.jsp"")",Chrome 148.0.7778.179,,,06-06-2026 18:04:54,06-06-2026 18:04:54,"0,075s",PASSED
delay(1),Chrome 148.0.7778.179,,,06-06-2026 18:04:54,06-06-2026 18:04:55,"1,016s",PASSED
"click(css(""#editPhoneButton""))",Chrome 148.0.7778.179,,,06-06-2026 18:04:55,06-06-2026 18:04:55,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:55,06-06-2026 18:04:55,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:55,06-06-2026 18:04:55,"0,002s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:55,06-06-2026 18:04:55,"0,303s",PASSED
delay(1),Chrome 148.0.7778.179,,,06-06-2026 18:04:55,06-06-2026 18:04:56,"1,003s",PASSED
"setText(css(""#phoneInput""), ""   "")",Chrome 148.0.7778.179,,,06-06-2026 18:04:56,06-06-2026 18:04:56,"0,001s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,06-06-2026 18:04:56,06-06-2026 18:04:56,"0,001s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,06-06-2026 18:04:56,06-06-2026 18:04:56,"0,000s",PASSED
return t,Chrome 148.0.7778.179,,,06-06-2026 18:04:56,06-06-2026 18:04:57,"0,566s",PASSED
