Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Autenticazione,Chrome 148.0.7778.179,,,08-06-2026 13:17:58,08-06-2026 13:19:09,"1m - 11,693s",PASSED
,,,,,,,
Test Cases/Autenticazione/TC_1.1_1,Chrome 148.0.7778.179,"Login con credenziali valide	
Compila form + submit → verifica (atteso Fail: errore)",,08-06-2026 13:17:58,08-06-2026 13:18:14,"16,127s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:17:58,08-06-2026 13:17:58,"0,479s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:17:59,08-06-2026 13:18:05,"6,304s",PASSED
"navigateToUrl(base + ""loginForm.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 13:18:05,08-06-2026 13:18:06,"1,000s",PASSED
"setText(css(""#email""), ""t.mansi@studenti.unisa.it"")",Chrome 148.0.7778.179,,,08-06-2026 13:18:06,08-06-2026 13:18:06,"0,004s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,08-06-2026 13:18:06,08-06-2026 13:18:06,"0,029s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,08-06-2026 13:18:06,08-06-2026 13:18:06,"0,025s",PASSED
return t,Chrome 148.0.7778.179,,,08-06-2026 13:18:06,08-06-2026 13:18:08,"1,766s",PASSED
"setText(css(""#password""), ""321CBA."")",Chrome 148.0.7778.179,,,08-06-2026 13:18:08,08-06-2026 13:18:08,"0,004s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,08-06-2026 13:18:08,08-06-2026 13:18:08,"0,002s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,08-06-2026 13:18:08,08-06-2026 13:18:08,"0,005s",PASSED
return t,Chrome 148.0.7778.179,,,08-06-2026 13:18:08,08-06-2026 13:18:09,"1,395s",PASSED
"click(css(""#submit""))",Chrome 148.0.7778.179,,,08-06-2026 13:18:09,08-06-2026 13:18:09,"0,005s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,08-06-2026 13:18:09,08-06-2026 13:18:09,"0,003s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,08-06-2026 13:18:09,08-06-2026 13:18:09,"0,002s",PASSED
return t,Chrome 148.0.7778.179,,,08-06-2026 13:18:09,08-06-2026 13:18:10,"0,803s",PASSED
delay(2),Chrome 148.0.7778.179,,,08-06-2026 13:18:10,08-06-2026 13:18:12,"2,109s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:18:12,08-06-2026 13:18:13,"0,953s",PASSED
"verifyElementPresent(css(""a[href='logout']""), 5, CONTINUE_ON_FAILURE)",Chrome 148.0.7778.179,,,08-06-2026 13:18:13,08-06-2026 13:18:13,"0,008s",PASSED
t = new com.kms.katalon.core.testobject.TestObject(sel),Chrome 148.0.7778.179,,,08-06-2026 13:18:13,08-06-2026 13:18:13,"0,002s",PASSED
"t.addProperty(""css"", EQUALS, sel)",Chrome 148.0.7778.179,,,08-06-2026 13:18:13,08-06-2026 13:18:13,"0,003s",PASSED
return t,Chrome 148.0.7778.179,,,08-06-2026 13:18:13,08-06-2026 13:18:14,"0,372s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:18:14,08-06-2026 13:18:14,"0,399s",PASSED
,,,,,,,
